
Link;Searching word;Result of searching
https://en.wikipedia.org/wiki/Elon_Musk#SolarCity;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#SolarCity;elon;1204
https://en.wikipedia.org/wiki/Friendly_artificial_intelligence;musk;3
https://en.wikipedia.org/wiki/Friendly_artificial_intelligence;elon;3
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-4;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-4;elon;1204
https://en.wikipedia.org/wiki/Aerospace;musk;0
https://en.wikipedia.org/wiki/Aerospace;elon;0
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-5;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-5;elon;1204
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-6;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-6;elon;1204
https://en.wikipedia.org/wiki/Bachelor%27s_degree;musk;0
https://en.wikipedia.org/wiki/Bachelor%27s_degree;elon;0
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-forbes_networth-1;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-forbes_networth-1;elon;1204
https://en.wikipedia.org/wiki/Elon_Musk#mw-head;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#mw-head;elon;1204
https://en.wikipedia.org/wiki/Wikipedia:NOTRS;musk;0
https://en.wikipedia.org/wiki/Wikipedia:NOTRS;elon;0
https://en.wikipedia.org/wiki/Forbes;musk;0
https://en.wikipedia.org/wiki/Forbes;elon;0
https://en.wikipedia.org/wiki/Philanthropy;musk;0
https://en.wikipedia.org/wiki/Philanthropy;elon;0
https://en.wikipedia.org/wiki/University_of_Pennsylvania_School_of_Arts_and_Sciences;musk;0
https://en.wikipedia.org/wiki/University_of_Pennsylvania_School_of_Arts_and_Sciences;elon;0
https://en.wikipedia.org/wiki/Lyndon_Rive;musk;55
https://en.wikipedia.org/wiki/Lyndon_Rive;elon;31
https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interface;musk;0
https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interface;elon;0
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-2;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-2;elon;1204
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-3;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-3;elon;1204
https://en.wikipedia.org/wiki/Sustainable_energy;musk;0
https://en.wikipedia.org/wiki/Sustainable_energy;elon;0
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-auto-22;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-auto-22;elon;1204
https://en.wikipedia.org/wiki/The_Boring_Company;musk;371
https://en.wikipedia.org/wiki/The_Boring_Company;elon;280
https://en.wikipedia.org/wiki/Elon_Musk#Early_life;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#Early_life;elon;1204
https://en.wikipedia.org/wiki/The_World%27s_Billionaires;musk;0
https://en.wikipedia.org/wiki/The_World%27s_Billionaires;elon;0
https://en.wikipedia.org/wiki/Bachelor_of_Arts;musk;0
https://en.wikipedia.org/wiki/Bachelor_of_Arts;elon;0
https://en.wikipedia.org/wiki/Industrial_designer;musk;0
https://en.wikipedia.org/wiki/Industrial_designer;elon;0
https://en.wikipedia.org/wiki/University_of_Pretoria;musk;0
https://en.wikipedia.org/wiki/University_of_Pretoria;elon;0
https://en.wikipedia.org/wiki/University_of_Pennsylvania;musk;26
https://en.wikipedia.org/wiki/University_of_Pennsylvania;elon;26
https://en.wikipedia.org/wiki/Kimbal_Musk;musk;292
https://en.wikipedia.org/wiki/Kimbal_Musk;elon;53
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-second-14;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#cite_note-second-14;elon;1204
https://en.wikipedia.org/wiki/Elon_Musk#searchInput;musk;2171
https://en.wikipedia.org/wiki/Elon_Musk#searchInput;elon;1204
https://en.wikipedia.org/wiki/Hyperloop;musk;187
https://en.wikipedia.org/wiki/Hyperloop;elon;147
https://en.wikipedia.org/wiki/Global_warming;musk;0
